OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2020 Total Population
36,82,City,Los Angeles,Exposition,Los Angeles - Exposition,LA City,9822071.75488281,13747.78796236,5,US,36,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,3357.00000000
37,83,City,Los Angeles,Exposition Park,Los Angeles - Exposition Park,LA City,70838884.83105470,41975.37893867,6,US,37,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,43805.00000000
38,84,City,Los Angeles,Faircrest Heights,Los Angeles - Faircrest Heights,LA City,13095367.10449220,16164.86688603,7,US,38,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,3841.00000000
39,85,City,Los Angeles,Figueroa Park Square,Los Angeles - Figueroa Park Square,LA City,19926425.96875000,21605.52379554,8,US,39,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,8422.00000000
40,86,City,Los Angeles,Florence-Firestone,Los Angeles - Florence-Firestone,LA City,70535922.82421879,41435.66923147,9,US,40,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,46365.00000000
41,87,City,Los Angeles,Glassell Park,Los Angeles - Glassell Park,LA City,84747797.67871089,50207.83193310,10,US,41,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,30097.00000000
42,88,City,Los Angeles,Gramercy Place,Los Angeles - Gramercy Place,LA City,31930657.14941410,26453.62588282,11,US,42,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,10509.00000000
43,89,City,Los Angeles,Granada Hills,Los Angeles - Granada Hills,LA City,438839286.40722698,95212.57163583,12,US,43,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,56494.00000000
44,90,City,Los Angeles,Green Meadows,Los Angeles - Green Meadows,LA City,34198719.05957030,23950.87423912,13,US,44,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,20900.00000000
45,91,City,Los Angeles,Hancock Park,Los Angeles - Hancock Park,LA City,57323010.27441410,35841.96077209,14,US,45,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,17012.00000000
46,92,City,Los Angeles,Harbor City,Los Angeles - Harbor City,LA City,127256590.69140600,68831.77366069,15,US,46,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,27908.00000000
47,93,City,Los Angeles,Harbor Gateway,Los Angeles - Harbor Gateway,LA City,141213773.02246100,114745.33382012,16,US,47,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,42289.00000000
48,94,City,Los Angeles,Harbor Pines,Los Angeles - Harbor Pines,LA City,6698248.10546875,11530.72480844,17,US,48,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,2231.00000000
49,95,City,Los Angeles,Harvard Heights,Los Angeles - Harvard Heights,LA City,20898421.75195310,21077.38570504,18,US,49,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,16917.00000000
50,96,City,Los Angeles,Harvard Park,Los Angeles - Harvard Park,LA City,63107483.26171880,34432.91117662,19,US,50,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,37165.00000000
51,97,City,Los Angeles,Highland Park,Los Angeles - Highland Park,LA City,84518883.51855470,56286.55525159,20,US,51,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,46454.00000000
52,98,City,Los Angeles,Historic Filipinotown,Los Angeles - Historic Filipinotown,LA City,16690240.01953130,21157.18711009,21,US,52,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,13842.00000000
53,99,City,Los Angeles,Hollywood,Los Angeles - Hollywood,LA City,123731154.32812500,77997.13798034,22,US,53,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,69763.00000000
